Column 1;Column 2;Summary;Score;Column 5;CPU;Column 7;Column 8;Motherboard;OS;Column 11;Column 12;GPU;GPU Vendor;Column 15
1;TecLab;Intel Core i9-10900KNVIDIA GeForce RTX 3090  (GA102);16795;Created:06 November 2020 (03:28);CPU Name:Intel Core i9-10900K;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3696 MHz;Motherboard:ASUS ROG MAXIMUS XII APEX;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.38;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):10806 MHzGPU Core clock (max):2505 MHzGPU Temp min/max:-42 / -42 C° FPS min/avg/max: 96.08 / 125.62 / 152.54 Detailed score info
2;Slinky PC;Intel Core i9-10980XEASUS GeForce RTX 3090  (GA102);15436;Created:05 November 2020 (12:04);CPU Name:Intel Core i9-10980XE;Physical / Logical CPUs: 18 / 36;CPU Clock (max):3001 MHz;Motherboard:ASUS ROG RAMPAGE VI EXTREME ENCORE;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.09;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10861 MHzGPU Core clock (max):2265 MHzGPU Temp min/max:12 / 35 C° FPS min/avg/max: 82.95 / 115.45 / 159.2 Detailed score info
3;vmanuelgm;AMD Ryzen 9 5950X 16-Core ProcessorNVIDIA GeForce RTX 3090  (GA102);15019;Created:08 November 2020 (14:17);CPU Name:AMD Ryzen 9 5950X 16-Core Processor;Physical / Logical CPUs: 16 / 32;CPU Clock (max):4801 MHz;Motherboard:MSI MEG X570 GODLIKE (MS-7C34);OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:457.09;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):10611 MHzGPU Core clock (max):2220 MHzGPU Temp min/max:29 / 41 C° FPS min/avg/max: 85.55 / 112.33 / 152.02 Detailed score info
4;jpmboy;Intel Core i7-8086KEVGA GeForce RTX 3090  (GA102);14787;Created:27 October 2020 (03:10);CPU Name:Intel Core i7-8086K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):4008 MHz;Motherboard:ASUS ROG MAXIMUS X APEX;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):10003 MHzGPU Core clock (max):2160 MHzGPU Temp min/max:30 / 68 C° FPS min/avg/max: 83.27 / 110.61 / 155.82 Detailed score info
5;devilhead;Intel Core i7-7800XASUS GeForce RTX 3090  (GA102);14740;Created:08 November 2020 (17:52);CPU Name:Intel Core i7-7800X;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3504 MHz;Motherboard:MSI X299M GAMING PRO CARBON AC (MS-7B06);OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:457.09;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10551 MHzGPU Core clock (max):2280 MHzGPU Temp min/max:5 / 28 C° FPS min/avg/max: 85.65 / 110.25 / 129.94 Detailed score info
6;johnksss;Intel Core i9-10900KEVGA GeForce RTX 3090  (GA102);14701;Created:21 November 2020 (00:09);CPU Name:Intel Core i9-10900K;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3696 MHz;Motherboard:ASUS ROG MAXIMUS XII FORMULA;OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):10802 MHzGPU Core clock (max):2145 MHzGPU Temp min/max:26 / 63 C° FPS min/avg/max: 83.5 / 109.96 / 152.91 Detailed score info
7;Bradwell;Intel Core i9-10900KFEVGA GeForce RTX 3090  (GA102);14513;Created:30 October 2020 (05:20);CPU Name:Intel Core i9-10900KF;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3696 MHz;Motherboard:MSI MEG Z490 GODLIKE (MS-7C70);OS:Windows 10  (build 20241);Graphics API: DirectX ;GPU Driver:456.98;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):11151 MHzGPU Core clock (max):2235 MHzGPU Temp min/max:10 / 23 C° FPS min/avg/max: 85.79 / 108.55 / 145.59 Detailed score info
8;Youtube-JackiesBenchmarks;Intel Core i9-10900KEVGA GeForce RTX 3090  (GA102);14487;Created:31 October 2020 (16:42);CPU Name:Intel Core i9-10900K;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3696 MHz;Motherboard:ASUS ROG STRIX Z490-F GAMING;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.09;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):11201 MHzGPU Core clock (max):2235 MHzGPU Temp min/max:16 / 57 C° FPS min/avg/max: 84.67 / 108.36 / 144.59 Detailed score info
9;I walked 3 miles to Micro Center every day for 9 days to get my 5950X.;AMD Ryzen 9 5950X 16-Core ProcessorASUS GeForce RTX 3090  (GA102);14081;Created:19 November 2020 (18:04);CPU Name:AMD Ryzen 9 5950X 16-Core Processor;Physical / Logical CPUs: 16 / 32;CPU Clock (max):3401 MHz;Motherboard:ASRock X570 Creator;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10251 MHzGPU Core clock (max):2175 MHzGPU Temp min/max:20 / 67 C° FPS min/avg/max: 82.32 / 105.32 / 136.26 Detailed score info
10;bmagnien;AMD Ryzen 9 3900XT 12-Core ProcessorEVGA GeForce RTX 3090  (GA102);14053;Created:27 October 2020 (05:05);CPU Name:AMD Ryzen 9 3900XT 12-Core Processor;Physical / Logical CPUs: 12 / 24;CPU Clock (max):3793 MHz;Motherboard:ASUS ROG STRIX X570-I GAMING;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):11001 MHzGPU Core clock (max):2100 MHzGPU Temp min/max:29 / 67 C° FPS min/avg/max: 82.79 / 105.12 / 141.75 Detailed score info
